Bodyweight;Beginner;Novice;intermediate;Advanced;Elite
50;9;18;30;46;64
55;11;20;34;50;69
60;13;23;37;54;73
65;14;25;40;58;78
70;16;27;43;61;82
75;18;30;45;64;85
80;19;32;48;67;89
85;21;34;50;70;93
90;23;36;53;73;96
95;24;38;55;76;99
100;26;40;58;79;102
105;27;42;60;82;105
110;29;43;62;84;108
115;30;45;64;87;111
120;32;47;66;89;114
125;33;49;68;91;116
130;34;50;70;94;119
135;36;52;72;96;121
140;37;54;74;98;124
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
